text,category
My credit card payment was charged twice,Credit card
I need help with my mortgage payment,Mortgage
My bank account has an unauthorized transaction,Bank account or service
I cannot access my checking account,Checking or savings account
I have an issue with my credit report,Credit reporting
I want to dispute information on my credit report,"Credit reporting, credit repair services, or other personal consumer reports"
I need help with a debt collection notice,Debt collection
My money transfer has not arrived,Money transfers
I have a problem with a virtual currency transaction,"Money transfer, virtual currency, or money service"
I need help with my consumer loan,Consumer Loan
I want to report an issue with my prepaid card,Credit card or prepaid card
I need assistance with my student loan,Student loan
I have a problem with my vehicle loan,Vehicle loan or lease
I need help with my payday loan,"Payday loan, title loan, or personal loan"
